year,numGames,globalSales
1980,9,11.38
1981,46,35.77
1982,36,28.86
1983,17,16.79
1984,14,50.36
1985,14,53.94
1986,21,37.07
1987,16,21.74
1988,15,47.22
1989,17,73.45
1990,16,49.39
1991,41,32.23
1992,43,76.16
1993,60,45.98
1994,121,79.17
1995,219,88.1099999999999
1996,263,199.15
1997,289,200.98
1998,379,256.47
1999,338,251.27
2000,349,201.56
2001,482,331.469999999999
2002,829,395.519999999998
2003,775,357.849999999999
2004,763,419.309999999999
2005,941,459.939999999998
2006,1008,521.039999999997
2007,1202,611.129999999992
2008,1428,678.899999999995
2009,1431,667.299999999996
2010,1259,600.449999999996
2011,1139,515.989999999997
2012,657,363.539999999998
2013,546,368.109999999998
2014,582,337.049999999998
2015,614,264.44
